sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F2S4_170116_011_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.52718296278094,0.812221802164472,0,0,0,0
F2S4_170116_011_C01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.63937464154669,1.1668821764418,0,0,0,0
F2S4_170116_011_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.34553816289222,0,0,0,0,0
F2S4_170116_011_E01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.54855916740282,2.84086840235934,0,0,0,0
F2S4_170116_011_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.60248588100565,1.44028838021547,0,0,0,0
F2S4_170116_011_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.43266886843572,0,0,0,0,0
F2S4_170116_011_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.54926256980248,2.54377575557306,0,0,0,0
F2S4_170116_012_A01,69,#26FFF2,L5 IT VISp Whrn Tox2,2,#27AAE1,Glutamatergic,0,2.89254388221518,0,0,0,0,0
F2S4_170116_012_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.65617892224031,1.80050484712777,0,0,0,0
F2S4_170116_012_C01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.75347891292029,2.00913981115563,0,0,0,0
F2S4_170116_012_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.69806642883941,1.2911796568502,0,0,0,0
F2S4_170116_012_E01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.59020279831699,1.71136476182308,0,0,0,0
F2S4_170116_012_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.36395434465265,2.19065723009817,0,0,0,0
F2S4_170116_012_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.9450473226557,1.76894102417466,0,0,0,0
F2S4_170116_012_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.42605040539572,0,0,0,0,0
F2S4_170116_013_A01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.61634165776493,1.86667955573418,0,0,0,0
F2S4_170116_013_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.16178280375114,2.39051754054639,0,0,0,0
F2S4_170116_013_C01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.4785954452419,0,0,0,0,0
F2S4_170116_013_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.49957792669132,2.09487213077153,0,0,0,0
F2S4_170116_013_E01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.55191584257247,0,0,0,0,0
F2S4_170116_013_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.55069587806493,1.83685456687259,0,0,0,0
F2S4_170116_013_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.80091736283789,0,0,0,0,0
F2S4_170116_013_H01,68,#00DDC5,L5 IT VISp Hsd11b1 Endou,2,#27AAE1,Glutamatergic,0,2.49252876343937,1.95011234510655,0,0,0,0
F2S4_170116_014_A01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.68914800042146,1.7674593503759,0,0,0,0
F2S4_170116_014_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.54810769876192,0.487446794745617,0,0,0,0
F2S4_170116_014_C01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.89932544510872,1.26834672850553,0,0,0,0
F2S4_170116_014_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.54576222574447,2.63028716549116,0,0,0,0
F2S4_170116_014_E01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.53526124433611,0,0,0,0,0.202971271116601
F2S4_170116_014_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.7588273086369,0,0,0,0,0
F2S4_170116_014_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.24588650798774,2.16269334478314,0,0,0,0
F2S4_170116_014_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.3496065277569,2.29170307186949,0,0,0,0
F2S4_170116_015_A01,118,#665C47,Astro Aqp4,3,#808285,Non-Neuronal,0,0,0,0,0,0,0
F2S4_170116_015_B01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.68240988836793,0,0,0,0,0
F2S4_170116_015_C01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.73916492749623,0.191175754360014,0,0,0,0
F2S4_170116_015_D01,71,#00FF00,L5 IT VISp Col6a1 Fezf2,2,#27AAE1,Glutamatergic,0,2.68538435927817,0,0,0,0,0
F2S4_170116_015_E01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,3.04071804841649,0,0,0,0,0
F2S4_170116_015_F01,71,#00FF00,L5 IT VISp Col6a1 Fezf2,2,#27AAE1,Glutamatergic,0,2.59223647567019,0,0,0,0,0
F2S4_170116_015_G01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,3.04742738935526,0,0,0,0,0
F2S4_170116_015_H01,71,#00FF00,L5 IT VISp Col6a1 Fezf2,2,#27AAE1,Glutamatergic,0,2.50809271963925,0,0,0,0,0
F2S4_170116_016_H01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.67117346598706,0,0,0.157820153312005,0,0
F2S4_170123_001_A01,72,#26BF64,L5 IT VISp Col27a1,2,#27AAE1,Glutamatergic,0,3.05535132552944,2.06134018569006,0,0,0,0
F2S4_170123_001_B01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.83796270783725,0,0,0.197123461387635,0,0
F2S4_170123_001_C01,62,#A6E6A9,L2/3 IT VISp Adamts2,2,#27AAE1,Glutamatergic,0,2.23586968041203,3.07492229877259,0,0,0,0
F2S4_170123_001_D01,62,#A6E6A9,L2/3 IT VISp Adamts2,2,#27AAE1,Glutamatergic,0,2.48705253300343,3.11463854263565,0,0.479601559846946,0,0
F2S4_170123_001_E01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.87783118146826,0,0,0,0,0
F2S4_170123_001_G01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,3.02631059119438,0,0,0.310856505261494,0,0
F2S4_170123_001_H01,62,#A6E6A9,L2/3 IT VISp Adamts2,2,#27AAE1,Glutamatergic,0,2.65900064713567,3.15472271279289,0.175785620121923,0,0.175785620121923,0
F2S4_170123_002_A01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.69259292521149,0.219880688746028,0,0,0,0
F2S4_170123_002_B01,88,#5100FF,L6 IT VISp Car3,2,#27AAE1,Glutamatergic,0,2.77341733977157,1.5126851326529,0,0.340631570551553,0,0
